year,month,gainer,gaintype,procedur,entity,contgain,area,pop,portion,loser,losetype,contlose,entry,exit,number,indep,conflict,version
1817,.,365,1,1,365,1,650,.,0,-9,1,1,0,0,29,0,1,5
1828,12,350,1,4,350,-9,39510,637700,1,640,0,1,1,0,59,1,1,5
1829,.,365,1,1,365,1,4680,.,0,-9,1,-9,0,0,63,0,1,5
1830,10,211,1,4,211,-9,27407,3533538,1,210,0,1,1,0,64,1,1,5
1830,.,365,1,1,365,1,9360,.,0,-9,1,-9,0,0,66,0,1,5
1839,4,211,1,3,210,1,2416,171572,0,210,1,1,0,0,76,0,0,5
1839,12,211,1,3,212,1,4408,176493,0,210,1,1,0,0,77,0,0,5
1847,10,337,1,2,336,1,1127,168198,1,336,1,-9,0,0,102,0,0,5
1849,12,255,1,5,250,0,1173,65574,1,250,1,-9,0,0,108,0,0,5
1853,.,365,1,2,365,1,66120,.,0,-9,1,-9,0,0,118,0,0,5
1854,.,365,1,1,365,1,1820000,.,0,-9,1,-9,0,0,121,0,1,5
1856,3,640,1,3,365,1,12264,.,0,365,1,1,0,0,125,0,1,5
1856,3,640,1,3,365,1,18557,.,0,365,1,1,0,0,126,0,1,5
1858,.,365,1,1,365,1,520,.,0,-9,1,-9,0,0,130,0,1,5
1859,11,325,1,3,300,1,21595,3009505,0,300,1,1,0,0,137,0,1,5
1859,11,365,1,1,365,1,12480,.,0,-9,1,-9,0,0,138,0,1,5
1860,3,220,1,3,325,1,14778,.,0,325,1,1,0,0,142,0,0,5
1860,3,325,1,5,332,1,6031,598996,1,332,1,-9,0,1,144,0,0,5
1860,3,325,1,5,335,1,6221,495840,1,335,1,-9,0,1,145,0,0,5
1860,3,325,1,5,337,1,22163,1783279,1,337,1,-9,0,1,146,0,0,5
1860,12,325,1,5,329,1,11950,8703130,1,329,1,-9,0,1,147,0,0,5
1860,12,325,1,5,327,1,41445,3124668,0,327,1,1,0,1,148,0,0,5
1861,.,220,1,2,221,1,2,.,0,221,1,1,0,0,154,0,0,5
1864,10,255,1,3,390,0,1046,50147,0,390,1,1,0,0,163,0,1,5
1864,6,255,1,3,390,1,9194,409907,0,390,1,1,0,0,164,0,1,5
1864,6,300,1,3,390,0,8534,544419,0,390,1,0,0,0,165,0,1,5
1864,6,350,1,3,349,1,2608,234123,1,200,0,0,0,0,166,0,0,5
1864,6,365,1,1,365,1,36400,.,0,-9,1,-9,0,0,167,0,1,5
1866,8,255,1,1,300,1,8537,544419,0,300,1,0,0,0,171,0,1,5
1866,8,255,1,2,254,1,4709,457571,1,254,1,-9,0,0,172,0,0,5
1866,8,255,1,2,247,1,101,87518,1,247,1,-9,0,0,173,0,0,5
1866,7,255,1,1,240,1,38474,1923492,1,240,1,-9,0,0,174,0,0,5
1866,7,255,1,2,273,1,9586,745063,1,273,1,-9,0,1,175,0,0,5
1866,7,325,1,3,300,1,25145,2458989,0,300,1,1,0,0,176,0,1,5
1867,12,212,1,4,212,-9,2567,203851,1,210,0,0,1,0,180,1,0,5
1867,7,255,1,5,257,1,6291,295242,1,257,1,-9,0,0,182,0,0,5
1867,7,255,1,5,246,1,192,98575,1,246,1,-9,0,0,183,0,0,5
1867,7,255,1,5,270,1,329,49482,1,270,1,-9,0,0,184,0,0,5
1867,7,255,1,5,253,1,2725,99060,1,253,1,-9,0,0,185,0,0,5
1867,7,255,1,5,248,1,352,229941,1,248,1,-9,0,0,186,0,0,5
1867,7,255,1,5,252,1,1577,139287,1,252,1,-9,0,0,187,0,0,5
1867,7,255,1,5,268,1,1121,58604,1,268,1,-9,0,0,188,0,0,5
1867,7,255,1,5,241,1,2383,181824,1,241,1,-9,0,0,189,0,0,5
1867,7,255,1,5,261,1,9407,742907,1,261,1,-9,0,0,190,0,0,5
1867,7,255,1,5,244,1,3691,282400,1,244,1,-9,0,0,191,0,0,5
1867,7,255,1,5,269,1,14939,2337192,1,269,1,-9,0,1,192,0,0,5
1867,7,255,1,5,275,1,8386,853315,1,275,1,-9,0,1,193,0,0,5
1867,7,255,1,5,280,1,13442,552612,1,280,1,-9,0,1,194,0,0,5
1870,10,325,1,5,327,1,11790,723161,1,327,1,-9,0,0,203,0,0,5
1871,12,255,1,3,220,1,14452,1549459,0,220,1,1,0,0,206,0,1,5
1871,1,255,1,5,267,1,15311,1434970,1,267,1,-9,0,1,207,0,0,5
1871,1,255,1,5,271,1,50526,1778479,1,271,1,-9,0,1,208,0,0,5
1871,1,255,1,5,245,1,76073,4824421,1,245,1,-9,0,0,209,0,0,5
1873,.,365,1,1,365,1,228800,.,0,-9,1,-9,0,0,215,0,1,5
1875,12,740,1,3,365,1,4973,72,0,365,1,1,0,0,226,0,0,5
1878,12,200,0,3,352,0,9251,186084,1,640,1,1,0,0,233,0,0,5
1878,7,300,1,6,346,1,42520,862202,1,640,1,1,0,0,235,0,0,5
1878,7,300,1,3,339,1,35,2000,0,640,1,1,0,0,237,0,1,5
1878,7,345,1,4,345,-9,42994,1352522,1,640,0,1,1,0,238,1,1,5
1878,7,341,1,4,341,-9,4584,195585,1,640,0,1,-9,0,240,1,1,5
1878,7,360,1,4,360,-9,118213,5073000,1,640,0,1,1,0,242,1,1,5
1878,7,365,1,3,360,1,9274,127000,0,360,1,1,0,0,245,0,0,5
1880,11,640,1,3,341,1,1,200,0,341,1,1,0,0,253,0,0,5
1881,.,365,1,2,365,1,4680,.,0,-9,1,-9,0,0,259,0,0,5
1881,2,710,1,3,365,1,42900,.,0,365,1,1,0,0,260,0,0,5
1885,.,365,1,2,365,1,175000,.,0,-9,1,-9,0,0,290,0,0,5
1897,5,640,1,3,350,1,1,200,0,350,1,1,0,0,364,0,1,5
1898,11,200,0,1,351,0,8614,294190,1,640,1,0,0,0,377,0,1,5
1905,10,385,1,4,385,-9,323917,2240032,1,380,0,1,1,0,412,1,0,5
1908,2,355,1,4,355,-9,96345,4035575,1,640,0,1,1,0,425,1,0,5
1912,11,339,1,4,339,-9,28748,825000,1,640,0,1,1,0,441,1,0,5
1913,8,345,1,3,355,1,27625,1000000,0,355,1,1,0,0,442,0,1,5
1913,8,350,1,3,355,1,19110,1703000,0,355,1,1,0,0,445,0,1,5
1913,12,350,1,2,351,1,8715,342151,1,200,0,-9,0,0,447,0,0,5
1913,5,360,1,3,355,1,6959,286000,0,355,1,1,0,0,450,0,1,5
1914,10,325,1,1,339,1,5,.,0,339,1,1,0,0,453,0,0,5
1914,4,339,1,3,350,1,1,.,0,350,1,1,0,0,454,0,0,5
1917,12,375,1,4,375,-9,325534,3105000,1,365,0,1,1,0,463,1,0,5
1918,11,290,1,4,290,-9,263180,15400000,0,365,0,1,1,0,464,1,1,5
1918,10,315,1,3,315,-9,140968,13600000,1,305,0,1,1,0,465,1,1,5
1918,12,366,1,4,366,-9,59984,1107000,1,365,0,1,1,0,466,1,1,5
1918,1,367,1,4,367,-9,63300,1596000,1,365,0,1,1,0,467,1,1,5
1918,12,368,1,4,368,-9,154491,2029000,1,365,0,1,1,0,468,1,0,5
1918,1,369,1,4,369,-9,444595,.,1,365,0,1,-9,0,469,1,1,5
1918,4,371,1,4,371,-9,31057,1214391,1,365,0,0,-9,0,470,1,1,5
1918,4,372,1,4,372,-9,66976,2372403,1,365,0,1,-9,0,471,1,1,5
1918,4,373,1,4,373,-9,84984,2096973,1,365,0,1,-9,0,472,1,1,5
1919,6,211,1,3,255,1,1000,61000,0,255,1,1,0,0,476,0,1,5
1919,6,212,1,3,255,1,3,.,0,255,1,1,0,0,477,0,0,5
1919,6,220,0,3,256,1,1945,657870,1,255,1,1,0,0,481,0,1,5
1919,6,220,1,3,255,1,14514,1874014,0,255,1,1,0,0,482,0,1,5
1919,6,290,1,3,255,1,420000,2700000,0,255,1,1,0,0,484,0,1,5
1919,9,290,1,3,300,1,80080,8257505,0,305,1,1,0,0,485,0,1,5
1919,6,291,1,3,291,-9,2056,330252,1,255,0,1,-9,0,486,1,1,5
1919,9,310,1,3,310,-9,91075,7990000,1,305,0,1,1,0,487,1,1,5
1919,9,325,1,3,326,1,96,229510,1,305,1,0,0,0,489,0,1,5
1919,9,325,1,3,305,1,18941,1178786,0,305,1,1,0,0,490,0,1,5
1919,11,345,1,3,355,1,2500,112500,0,355,1,1,0,0,491,0,1,5
1919,9,345,1,3,300,1,53636,1931802,0,305,1,1,0,0,492,0,1,5
1919,11,350,1,3,355,1,6400,320000,0,355,1,1,0,0,493,0,1,5
1920,7,290,1,3,315,1,1009,145241,0,315,1,1,0,0,503,0,0,5
1920,10,290,1,3,368,1,29818,2075700,0,368,1,1,0,0,504,0,1,5
1920,10,305,1,3,345,1,5055,392431,0,345,1,1,0,0,505,0,0,5
1920,7,315,1,3,290,1,528,113500,0,290,1,1,0,0,506,0,0,5
1920,6,315,1,3,310,1,53320,2940374,0,310,1,1,0,0,507,0,1,5
1920,11,325,1,3,326,1,5271,404309,0,345,1,1,0,0,508,0,0,5
1920,11,345,1,3,326,1,1,1000,0,325,1,1,0,0,509,0,0,5
1920,6,345,1,3,310,1,71540,4095258,0,310,1,1,0,0,510,0,1,5
1918,3,360,1,3,360,1,45632,2686600,0,365,1,1,0,0,511,0,1,5
1920,6,360,1,3,310,1,108289,5200000,0,310,1,1,0,0,512,0,1,5
1920,11,365,1,1,371,0,31057,1214391,1,371,1,-9,0,0,513,0,1,5
1920,4,365,1,1,373,1,84984,2096973,1,373,1,-9,0,0,514,0,1,5
1920,2,365,1,1,372,1,66976,2372403,1,372,1,-9,0,0,515,0,1,5
1920,12,365,1,1,369,1,444595,.,1,369,1,-9,0,0,516,0,1,5
1920,2,390,1,3,255,1,3800,160000,0,255,1,1,0,0,517,0,0,5
1921,3,290,1,3,365,1,113722,3683568,0,365,1,1,0,0,530,0,1,5
1921,12,310,1,3,305,1,225,39525,0,305,1,1,0,0,531,0,0,5
1921,6,375,1,3,380,1,1422,27123,0,380,1,1,0,0,533,0,0,5
1922,12,205,1,-9,205,-9,68891,3165000,1,200,0,1,1,0,537,1,1,5
1922,8,255,1,3,255,1,9702,1299127,0,290,1,1,0,0,538,0,0,5
1922,8,290,1,3,255,1,3221,893074,0,255,1,1,0,0,539,0,0,5
1923,2,368,1,2,368,1,2846,151960,0,0,-9,-9,0,0,542,0,0,5
1924,1,325,1,3,345,1,17,49806,0,345,1,1,0,0,544,0,0,5
1924,1,345,1,3,325,1,1,.,0,325,1,1,0,0,546,0,0,5
1929,2,328,1,-9,328,-9,0,639,1,325,0,1,-9,0,558,1,0,5
1935,3,255,1,5,256,1,1912,812030,1,220,0,1,0,0,569,0,0,5
1938,3,255,1,2,305,1,83869,6760000,1,305,1,-9,0,0,573,0,0,5
1938,9,255,1,3,315,1,28674,3653292,0,315,1,1,0,0,574,0,0,5
1938,10,290,1,2,315,1,1085,241698,0,315,1,1,0,0,575,0,0,5
1938,11,310,1,3,317,1,11826,1027450,0,315,1,1,0,0,576,0,0,5
1939,3,255,1,2,315,1,98909,9807096,1,315,1,-9,0,0,577,0,0,5
1939,3,255,1,2,368,1,2846,152660,0,368,1,1,0,0,578,0,0,5
1939,3,310,1,1,315,1,11094,522124,0,315,1,1,0,0,579,0,0,5
1939,3,317,1,4,317,-9,38456,2450096,1,315,0,1,-9,0,580,1,0,5
1939,4,325,1,1,339,1,28748,1003124,1,339,1,-9,0,0,581,0,1,5
1939,10,368,1,3,290,1,6656,457500,0,365,1,1,0,0,582,0,0,5
1940,6,355,1,3,360,1,7421,.,0,360,1,1,0,0,584,0,0,5
1940,7,365,1,1,366,1,47549,1126000,1,366,1,-9,0,1,585,0,0,5
1940,7,365,1,1,367,1,65773,1950000,1,367,1,-9,0,1,586,0,0,5
1940,7,365,1,1,368,1,59464,2879070,1,368,1,-9,0,1,587,0,0,5
1944,7,395,1,4,395,-9,103000,132000,1,390,0,0,1,0,590,1,0,5
1945,4,315,1,3,315,-9,127860,12900000,1,255,0,1,-9,0,593,1,1,5
1945,4,315,1,3,315,1,22922,1000000,0,310,1,1,-9,0,594,0,1,5
1945,4,315,1,2,317,1,38456,2450096,1,317,1,-9,-9,0,595,0,0,5
1944,11,339,1,3,339,-9,28748,1132000,1,325,0,1,-9,0,596,1,1,5
1945,4,365,1,3,255,1,13000,.,0,255,1,1,0,0,597,0,1,5
1945,2,365,1,3,290,1,179460,.,0,290,1,1,0,0,598,0,0,5
1945,6,365,1,3,315,1,7000,.,0,315,1,1,0,0,599,0,0,5
1945,4,1,-9,3,305,-9,83869,6952744,1,255,1,1,0,1,603,0,1,5
1945,5,1,-9,1,255,-9,472605,69600000,1,255,1,-9,0,1,606,0,0,5
1947,2,220,1,3,325,1,1,.,0,325,1,1,0,0,612,0,1,5
1947,10,220,1,2,256,1,2567,874000,1,260,1,1,0,0,613,0,0,5
1947,2,315,1,3,310,1,1,.,0,310,1,1,0,0,614,0,1,5
1947,2,339,1,3,339,1,5,.,0,325,1,1,0,0,615,0,1,5
1947,2,345,1,3,325,1,3600,.,0,325,1,1,0,0,616,0,1,5
1947,2,365,1,1,360,1,49987,3500000,0,360,1,1,0,0,618,0,1,5
1947,2,365,1,3,375,1,44104,450000,0,375,1,1,0,0,619,0,1,5
1947,2,1,-9,3,326,-9,743,292000,1,325,1,1,0,0,625,0,1,5
1949,4,210,1,3,260,1,78,9000,0,260,1,1,0,0,634,0,0,5
1949,4,211,1,3,255,1,18,.,0,255,1,1,0,0,635,0,0,5
