conflictName,date,territoryChange,result,lat,long
War of the Third Coalition,1805-04-11,http://dbpedia.org/resource/Peace_of_Pressburg_(1805),French victory,50,14
Battle of Ulm,1805-10-19,France gains control over Bavaria,French victory,48.38330078,9.983300209
Battle of Austerlitz,1805-12-02,Dissolution of the Holy Roman Empire and creation of the Confederation of the Rhine,French victory,49.12805557,16.76250076
War of the Fourth Coalition,1806-10-09,http://dbpedia.org/resource/Treaties_of_Tilsit,French victory,50,14
Battle of Jena–Auerstedt,1806-10-14,occupies Prussia,Frenchvictory,50.92722321,11.58611107
Siege of Magdeburg (1806),1806-11-08,0001-11-11,French victory,52.13330078,11.61670017
Great Sortie of Stralsund,1807-04-03,French army pushed out of Swedish Pomerania,Swedish victory,54.30916595,13.08194447
Battle of Corunna,1809-01-16,Fall of Northern Spain to the French Empire,See [[#Analysis,43.33250046,-8.412500381
Austro-Polish War,1809-04-10,"Austria cedes Lublin, Kraków, Siedlce and Zamość district to the Duchy of Warsaw and Tarnopol to the Russian Empire",Polish victory,52.29999924,21
Battle of Raszyn (1809),1809-04-19,Austrians capture Warsaw,Austrian victory,52.15888977,20.92638969
Battle of Slobozia,1811-11-14,http://dbpedia.org/resource/Treaty_of_Bucharest_(1812),Russian victory,43.85825348,25.90683937
Battle of Salamanca,1812-07-22,The French abandon the region of Andalusia,Coalition victory,40.88916779,-5.624722004
Battle of Borodino,1812-09-07,http://dbpedia.org/resource/French_occupation_of_Moscow,See,55.51666641,35.81666565
Battle of Leipzig,1813-10-19,"Dissolution of the Rhine Confederation
* France loses complete control of all territories east of the Rhine",Coalition victory,52.40000153,13
Battle of Paris (1814),1814-03-31,"* Redrawing of the map of Europe
* First Treaty of Paris
* Early stages of the Congress of Vienna",Coalition victory,48.85660172,2.351799965
Battle of Adrianople (1829),1829-08-08,http://dbpedia.org/resource/Treaty_of_Adrianople_(1829),Russian victory,41.67710114,26.5554409
Battle of Warsaw (1831),1831-08-27,Paskevich's troops capture Warsaw,Russian victory,52.22722244,20.94305611
Battle of Węgrów,1863-02-03,Polish forces capture town and retreat,Polish victory,52.40000153,22.01666641
Battle of Opatów (1863),1863-11-25,Polish rebels manage to occupy Opatów,Polishvictory,50.80500031,21.42472267
Siege of Metz (1870),1870-10-27,Metz occupied by the allied German armies,German victory,49.1202774,6.177777767
Siege of Belfort,1870-11-03,Belfort is excluded from the French territorial concessions to Germany,France fails to break the encirclement,47.63790131,6.862800121
Battle of Plovdiv (1878),1878-01-16,Russians capture Edirne,Russian victory,42.15000153,24.75
Battle of Ulcinj (1880),1880-11-22,Ulcinj would later be ceded to Montenegro,Ottoman victory,41.91666794,19.20000076
Battle of Chios (1912),11/24/1912,Greeks capture Chios from the Ottomans,Greek victory,38.37749863,26.06500053
Capture of Korytsa,12/20/1912,Greeks capture Korçë,Greek victory,40.61402512,20.77777863
Siege of Adrianople (1913),7/23/1913,"In addition to Edirne, Kırklareli and Dimetoka join the Ottoman lands.",Ottoman victory,41.67694473,26.55555534
Great Retreat,9/5/1914,Allied forces retreated to a line from Verdun to Rheims and Paris,German victory,49.5,2.833333254
Battle of Galicia,9/11/1914,Russian occupation of Eastern Galicia and Northern Bukovina,Russian victory,49.84999847,24.01670074
First Battle of the Marne,9/14/1914,German advance to Marne repulsed,Ententevictory,49.01666641,3.383333445
Siege of Antwerp (1914),10/10/1914,Belgian army withdraws west to Yser river,German victory,51.22000122,4.409999847
Battle of the Yser,10/31/1914,Yser Front created,Allied victory,51.15277863,2.723055601
Second Battle of the Masurian Lakes,2/28/1915,Russian forces evacuate East Prussia,German victory,54,22
Battle of Neuve Chapelle,3/13/1915,Capture of Neuve Chapelle village,See [[#Aftermath,50.58499908,2.777499914
Raid on Porto Buso,5/24/1915,Porto Buso captured,Italian victory,45.71666718,13.25555515
Battle of Festubert,5/25/1915,Minor British gains,German victory,50.54388809,2.736111164
Second Battle of Ypres,5/25/1915,British withdraw to a new line 3 miles closer to Ypres,See [[#Analysis,50.89944458,2.940555573
Second Battle of Artois,6/18/1915,French regain ; British advance  at Festubert,See [[#Aftermath,50.5,2.75
Gorlice–Tarnów offensive,7/13/1915,Russian forces retreat from Galicia and Polish salient,Central powers victory,49.70000076,21.20000076
Third Battle of Artois,11/4/1915,Advance of the Entente front line in Artois by,See [[#Analysis,50.5,2.75
Actions of St Eloi Craters,4/16/1916,The St eloi craters re-captured by the Germans,German victory,50.81000137,2.891944408
Battle of the Somme,7/1/1916,Bulge driven into the Noyon Salient,Inconclusive,50.01555634,2.69749999
Battle of Gorizia (1916),8/16/1916,"Capture of Gorizia, Sabotino, Oslavia-Podgora and San Michele",Italian victory,45.93299866,13.61600018
Seventh Battle of the Isonzo,9/17/1916,"Soča River Valley, Slovenia",Italian tactical victory,45.93299866,13.61600018
Battle of Flers–Courcelette,9/22/1916,"Flers, Courcelette and vicinity captured",British victory,50.05888748,2.7477777
"Operations on the Ancre, January–March 1917",3/13/1917,"Ancre valley, Artois",British victory,50.06666565,2.700000048
Operation Alberich,3/20/1917,Noyon and Bapaume salients abandoned,German success,49.5,2.833333254
Battle of Messines (1917),6/14/1917,Messines–Wytschaete Ridge re-captured,British victory,50.76250076,2.895277739
Riga offensive (1917),9/5/1917,Germans capture Riga,German victory,56.96944427,24.32333374
Battle of Caporetto,11/19/1917,Central Powers advance  to the Piave River,Central Powers victory,46.21444321,13.64249992
Battle of Cambrai (1917),12/7/1917,"* British capture Havrincourt, Flesquières, Ribécourt-Dreslincourt
* Germans capture Gonnelieu",SeeAftermathsection,50.17666626,3.235555649
Battle of Moreuil Wood,3/30/1918,German victory. German forces gain control of Moreuil Wood and its surrounding area on the Somme river.,SeeAftermathsection,49.78305435,2.5
Operation Michael,4/5/1918,Germans penetrate British lines up to  while seizing  of territory,See ''[[#Aftermath,49.79999924,2.799999952
Battle of Ahvenkoski,5/5/1918,Surrender of Red Finland,German–White victory,60.49777222,26.45959473
Third Battle of the Aisne,6/6/1918,Germans achieve 55 km breakthrough of Allied lines that comes within 56 km of Paris,See [[#Aftermath,49.38333511,3.733333349
German spring offensive,7/18/1918,German armies make gains along sections of the Western Front.,See [[#Aftermath,50.0027771,2.652777672
Battle of Drocourt-Quéant Line,9/3/1918,"German army withdrew  to the Hindenburg Line, February–March 1917",Canadian and British victory,50.39194489,2.92750001
Battle of St Quentin Canal,10/10/1918,Total break of Hindenburg Line,Allied victory,49.97499847,3.231666565
Meuse–Argonne offensive,11/11/1918,"* French forces advance 32 km and liberate Le Chesne and Sedan
* American forces advance 16 km",Allied victory,49.27249908,5.141944408
Battle of Petrograd,11/14/1919,Soviets successfully defend Petrograd,* Dissolution of theNorthwest Army,60.04999924,31.75
Szomoróc uprising,8/1/1920,"Szomoróc temporarily incorporated into the Kingdom of Serbs, Croats and Slovenes",*See [[#Aftermath,46.7881012,16.34395981
Siege of Perekop (1920),11/17/1920,Crimean Peninsula was captured by the Bolsheviks,Soviet–Makhnovist victory,46.15000153,33.68333435
Battle of Kiev (1918),2/5/1923,Capture of Kiev by Bolsheviks,Bolshevikvictory,50.45000076,30.5233326
